288 points
E( 0 , 1 ) 
E( 225 , 93 ) 
E( 226 , 14 ) 
E( 226 , 236 ) 
E( 227 , 210 ) 
E( 227 , 49 ) 
E( 229 , 21 ) 
E( 229 , 240 ) 
E( 230 , 133 ) 
E( 230 , 99 ) 
E( 231 , 225 ) 
E( 231 , 6 ) 
E( 232 , 163 ) 
E( 232 , 75 ) 
E( 233 , 151 ) 
E( 233 , 126 ) 
E( 234 , 98 ) 
E( 234 , 136 ) 
E( 235 , 27 ) 
E( 235 , 240 ) 
E( 236 , 168 ) 
E( 236 , 68 ) 
E( 237 , 38 ) 
E( 237 , 203 ) 
E( 238 , 189 ) 
E( 238 , 83 ) 
E( 239 , 183 ) 
E( 239 , 88 ) 
E( 240 , 45 ) 
E( 240 , 221 ) 
E( 241 , 213 ) 
E( 241 , 36 ) 
E( 242 , 185 ) 
E( 242 , 75 ) 
E( 243 , 146 ) 
E( 243 , 97 ) 
E( 250 , 39 ) 
E( 250 , 221 ) 
E( 251 , 155 ) 
E( 251 , 96 ) 
E( 252 , 123 ) 
E( 252 , 135 ) 
E( 253 , 95 ) 
E( 253 , 162 ) 
E( 254 , 213 ) 
E( 254 , 43 ) 
E( 255 , 144 ) 
E( 255 , 111 ) 
